"object_id","locality","name","street_address","owner_applicant","construction_type","build_status","lat","long"
393,"Loudoun County","STACK NVA04","22285 LOCKRIDGE RD","STACK INFRASTRUCTURE","Complete","Existing",39.000746,-77.460305
394,"Loudoun County","STACK NVA04","22271 LOCKRIDGE RD","STACK INFRASTRUCTURE","Complete","Existing",38.999166,-77.460786
396,"Loudoun County","AWS H&M Property","25500 MEADOWDALE DR","Amazon Data Services Inc","Operating, Expanding","Existing",38.92110773,-77.48629892
401,"Loudoun County","Northwoods Property","43649 LIGHT SPEED PLZ","Amazon Data Services Inc","Complete","Existing",38.98071575,-77.49381779
402,"Loudoun County","IAD44","43704 EFFICIENCY DR","Digital Realty","Complete","Existing",38.96118067,-77.49052334
403,"Loudoun County","PROLOGIS-EXCHANGE 43461 OLD OX ROAD","23845 ERINS RUN DR","Prologis","Operating, Expanding","Existing",38.95745135,-77.49767788
408,"Loudoun County","Vantage VA 3","43321 DATA DR","VANTAGE DATA CENTERS","Operating, Expanding","Existing",39.07739352,-77.50616535
409,"Loudoun County","NVA06 Campus","19275 COMPASS CREEK PKWY SE","STACK INFRASTRUCTURE","Complete","Existing",39.08262667,-77.56523178
410,"Loudoun County","NVA06 Campus","19265 COMPASS CREEK PKWY","STACK INFRASTRUCTURE","Complete","Existing",39.08022813,-77.56472753
411,"Loudoun County","WHEELER SURVEY COMPANY","24400 HOWLING ROOSTER LN","WHEELER SURVEY COMPANY LLC","Operating, Expanding","Existing",38.94236155,-77.52864356
418,"Loudoun County","NV-9 CYRUSONE","43290 OLD OX RD","CyrusOne","Operating, Expanding","Existing",38.95866473,-77.50507079
424,"Loudoun County","IAD214","22760 PACIFIC BLV","Amazon Data Services Inc","Complete","Existing",38.98673089,-77.43557826
425,"Loudoun County","DCT DULLES DOWNS Land Bay B","45220 PROLOGIS PLZ","DCT DULLES DOWNS LLC","Complete","Existing",38.99013715,-77.4372931
427,"Loudoun County","DCT DULLES DOWNS Land Bay A","45111 LOUDOUN DOWNS LN","DCT DULLES DOWNS LLC","Complete","Existing",38.99117809,-77.44136698
431,"Loudoun County","Prologis NOVA 1","22675 DULLES SUMMIT CT","Prologis","Redevelopment","Existing",38.98944194,-77.44954289
432,"Loudoun County","DCT DULLES PHASE II","22651 DULLES SUMMIT CT","DCT DULLES PHASE II LLC","Complete","Existing",38.98813133,-77.45051895
433,"Loudoun County","VA 16","22321 PACIFIC BLVD , STERLING","VANTAGE DATA CENTERS","Complete","Existing",38.99908829,-77.44114194
436,"Loudoun County","SDC ASHBURN I","44351 IMPORT PLZ","SDC ASHBURN ALPHA I LLC","Operating, Expanding","Existing",38.99620896,-77.47163813
441,"Loudoun County","STERLING VI, V","21340 PACIFIC BLVD","CyrusOne","Complete","Existing",39.02434941,-77.43410482
450,"Loudoun County","ACC4 Digital Realty","44480 HASTINGS DR","Digital Realty","Complete","Existing",39.01794393,-77.4626604
452,"Loudoun County","NTT Global Data Centers","44245 GIGABIT PLZ","NTT GLOBAL DATA CENTERS VA LLC","Operating, Expanding","Existing",39.018154,-77.47288888
453,"Loudoun County","NTT Global Data Centers Building 7","44245 GIGABIT PLZ","NTT GLOBAL DATA CENTERS VA LLC","Expansion","Existing",39.01596573,-77.47207657
455,"Loudoun County","AID1 DataBank","21625 RED RUM DR","GI TC ASHBURN LLC","Operating, Expanding","Existing",39.01561562,-77.48246656
460,"Loudoun County","COMPASS DATACENTERS IAD I","42247 THUNDERBALL DR","Compass","Complete","Existing",39.0438211,-77.53760127
510,"Loudoun County","IAD3 Evoque Cyxtera","22995 WILDER CT","22995 WILDER COURT LLC","Complete","Existing",38.98105939,-77.44433907
